kind,precinct,name,room,address,city,zip,bus,extended,note
ed,185,Bible Baptist Church of Pflugerville,Auditorium,14400 Immanuel Rd,Pflugerville,78660,No,0,
ed,253,Boulder Ridge Clubhouse,Clubhouse,3300 Killingsworth Ln,Pflugerville,78660,No,0,
ed,178,Cambridge Villas,Dining Room,15711 Dessau Rd,Pflugerville,78660,No,0,
ed,156,New Life Baptist Church,Foyer,19715 Hodde Ln,Pflugerville,78660,No,0,
ed,188,Northtown MUD,Meeting Room,700 E Wells Branch Pkwy,Pflugerville,78660,No,0,
ed,172,Pflugerville Lions Club,Main Hall,500 N Railroad Ave,Pflugerville,78660,No,0,
ed,177,Pflugerville Public Library,Large Conference Room,1008 W Pfluger St,Pflugerville,78660,No,0,
ed,162,Stone Hill Apartments,Community Room,17900 Pfluger Farm Ln,Pflugerville,78660,No,0,
ed,170,Travis County HHS Pflugerville Community Center,Activity Room,15822 Foothill Farms Loop,Pflugerville,78660,No,0,
ed,164,All Nations Church,Family Room,16804 Radholme Ct,Round Rock,78664,No,0,
ed,366,Briarcliff POA Community Center,Community Room,22801 Briarcliff Dr,Briarcliff,78669,No,0,
ed,367,Lake Travis Community Library,Meeting Room,21209 State Hwy 71 W,Spicewood,78669,No,0,
ed,400,Emma S Barrientos Mexican American Cultural Center,Raul Salinas Room,600 River St,Austin,78701,Yes,0,
ed,300,Sam Houston Building,Break Room And Library,201 E 14th St,Austin,78701,Yes,0,
ed,108,Huston-Tillotson University,Davage-Durden Student Union,900 Chicon St,Austin,78702,Yes,0,
ed,102,Mt Zion Baptist Church,Family Life Center Room 119,2938 E 13th St,Austin,78702,Yes,0,
ed,401,Terrazas Branch Library,Meeting Rooms 1 and 2,1105 E Cesar Chavez St,Austin,78702,Yes,0,
ed,402,Cantu Pan Am Recreation Center,Gym,2100 E 3rd St,Austin,78702,Yes,0,
ed,101,Conley Guerrero Senior Activity Center,Language Room,808 Nile St,Austin,78702,Yes,0,
ed,231,Howson Branch Library,Meeting Room,2500 Exposition Blvd,Austin,78703,No,0,
ed,230,O Henry Middle School,Gym,2610 W 10th St,Austin,78703,Yes,0,
ed,231,Westminster Presbyterian Church,Fellowship Hall,3208 Exposition Blvd,Austin,78703,Yes,0,
ed,411,Church on Congress Avenue,Sanctuary,1511 S Congress Ave,Austin,78704,Yes,0,
ed,304,Mary Lee Foundation,Lobby,1339 Lamar Square Dr,Austin,78704,Yes,0,
ed,414,South Austin Senior Activity Center,Club Room,3911 Menchaca Rd,Austin,78704,Yes,0,
